,Gender,loan_amount,income,Credit_Score,age,Region,Status
0,2,206500,4980.0,552,3,0,1
1,2,466500,0.0,765,2,0,1
2,2,656500,8640.0,880,1,0,1
3,2,106500,1680.0,880,2,2,1
4,2,406500,7560.0,768,2,0,1
5,2,316500,5640.0,571,6,0,1
6,2,266500,3840.0,529,3,0,1
7,2,336500,7200.0,572,2,3,1
8,2,726500,9660.0,896,1,3,1
9,2,336500,5100.0,719,0,0,1
10,2,446500,11400.0,850,2,3,1
11,2,266500,11160.0,635,1,0,1
12,2,306500,5040.0,723,0,0,1
13,2,486500,12660.0,605,2,3,1
14,2,266500,3540.0,692,4,0,1
15,2,496500,12360.0,544,2,0,1
16,2,166500,5760.0,585,4,0,1
17,2,156500,3960.0,727,6,0,1
18,2,206500,11640.0,857,2,0,1
19,2,216500,0.0,626,0,2,1
20,2,256500,6300.0,828,1,0,1
21,2,226500,3240.0,692,6,0,1
22,2,326500,15780.0,817,1,3,1
23,2,96500,5100.0,604,2,0,1
24,2,306500,3480.0,527,4,0,1
25,2,256500,4440.0,539,3,0,1
26,2,376500,6540.0,873,3,0,1
27,2,116500,1140.0,513,2,0,1
28,2,276500,11640.0,603,1,0,1
29,2,136500,2160.0,894,2,0,1
30,2,496500,4920.0,754,1,0,1
31,2,486500,7980.0,829,1,0,1
32,2,366500,4200.0,805,1,3,1
33,2,126500,3660.0,548,3,2,1
34,2,126500,3000.0,564,2,0,1
35,2,586500,8100.0,872,2,2,1
36,2,106500,3420.0,824,4,3,1
37,2,166500,3420.0,514,2,3,1
38,2,216500,3900.0,729,3,2,1
39,2,276500,3600.0,724,1,0,1
40,2,96500,2040.0,728,2,3,1
41,2,256500,3060.0,671,6,3,1
42,2,406500,8100.0,683,3,0,1
43,2,366500,5220.0,665,5,3,1
44,2,346500,8880.0,552,0,0,1
45,2,566500,22680.0,511,4,0,1
46,2,336500,3780.0,797,3,0,1
47,2,246500,6480.0,546,1,3,1
48,2,226500,3360.0,892,4,0,1
49,2,496500,6600.0,856,1,3,1
50,2,186500,2760.0,552,3,0,1
51,2,136500,3000.0,610,3,3,1
52,2,696500,11640.0,638,0,0,1
53,2,476500,7740.0,837,2,3,1
54,2,286500,4260.0,649,0,3,1
55,2,126500,1920.0,710,4,0,1
56,2,206500,3000.0,603,2,0,1
57,2,306500,8040.0,660,3,0,1
58,2,106500,1080.0,739,4,0,1
59,2,146500,3060.0,550,1,0,1
60,2,436500,8760.0,753,6,0,1
61,2,176500,3300.0,530,6,0,1
62,2,216500,2700.0,835,4,0,1
63,2,366500,6180.0,779,2,0,1
64,2,596500,7500.0,685,0,3,1
65,2,596500,7140.0,805,0,0,1
66,2,286500,3000.0,867,6,0,1
67,2,106500,1440.0,601,4,0,1
68,2,506500,4680.0,780,1,0,1
69,2,416500,5700.0,515,1,3,1
70,2,466500,6060.0,615,2,0,1
71,2,326500,8820.0,588,2,2,1
72,2,96500,3600.0,564,2,0,1
73,2,436500,9660.0,687,1,0,1
74,2,756500,12000.0,862,2,0,1
75,2,236500,3720.0,784,1,0,1
76,2,196500,3180.0,504,0,0,1
77,2,156500,2460.0,564,1,3,1
78,2,1186500,75240.0,877,2,3,1
79,2,196500,4260.0,512,1,0,1
80,2,416500,5580.0,636,2,0,1
81,2,126500,7200.0,808,4,0,1
82,2,166500,5520.0,723,3,0,1
83,2,366500,7680.0,518,1,0,1
84,2,266500,6480.0,855,0,0,1
85,2,226500,14100.0,764,2,3,1
86,2,326500,9060.0,802,2,0,1
87,2,526500,6900.0,642,1,0,1
88,2,216500,0.0,645,1,2,1
89,2,536500,7140.0,822,1,3,1
90,2,406500,5700.0,821,0,0,1
91,2,106500,2100.0,800,2,3,1
92,2,186500,3000.0,697,1,0,1
93,2,36500,7020.0,836,2,0,1
94,2,486500,6960.0,775,0,0,1
95,2,486500,3960.0,891,1,3,1
96,2,166500,2820.0,848,1,3,1
97,2,706500,10680.0,715,0,3,1
98,2,476500,17940.0,689,2,0,1
99,2,1146500,0.0,882,4,0,1
100,2,436500,7680.0,807,2,0,1
101,2,316500,6000.0,557,2,0,1
102,2,486500,6660.0,716,1,3,1
103,2,106500,3600.0,557,3,0,1
104,2,376500,6360.0,643,3,0,1
105,2,266500,3000.0,723,6,0,1
106,2,216500,2700.0,561,0,3,1
107,2,636500,9600.0,771,1,3,1
108,2,186500,1560.0,622,4,1,1
109,2,266500,9600.0,574,3,0,1
110,2,386500,8280.0,751,6,0,1
111,2,106500,5340.0,662,3,0,1
112,2,436500,5280.0,624,0,0,1
113,2,226500,3060.0,625,6,1,1
114,2,546500,0.0,743,2,2,1
115,2,306500,7320.0,876,2,2,1
116,2,296500,2760.0,880,0,0,1
117,2,256500,9120.0,757,2,0,1
118,2,246500,2460.0,503,3,3,1
119,2,126500,2460.0,517,1,0,1
120,2,236500,8820.0,840,3,0,1
121,2,186500,3060.0,777,4,0,1
122,2,476500,5820.0,512,0,0,1
123,2,256500,4500.0,541,3,0,1
124,2,176500,16980.0,594,4,0,1
125,2,236500,3600.0,803,1,3,1
126,2,1366500,18000.0,643,2,0,1
127,2,416500,4440.0,660,3,0,1
128,2,316500,9960.0,671,1,3,1
129,2,186500,6360.0,515,0,0,1
130,2,96500,3180.0,863,1,0,1
131,2,116500,2760.0,819,4,2,1
132,2,226500,3120.0,878,4,0,1
133,2,486500,6840.0,817,1,3,1
134,2,236500,4920.0,892,2,3,1
135,2,496500,5460.0,626,0,0,1
136,2,276500,2640.0,610,3,3,1
137,2,496500,11280.0,645,1,0,1
138,2,206500,2880.0,624,3,3,1
139,2,226500,4200.0,672,1,0,1
140,2,636500,8160.0,703,4,2,1
141,2,446500,8040.0,894,4,0,1
142,2,66500,3180.0,880,1,0,1
143,2,226500,2040.0,600,6,0,1
144,2,236500,2700.0,727,4,3,1
145,2,286500,0.0,594,1,0,1
146,2,146500,9000.0,677,2,0,1
147,2,346500,8100.0,814,3,0,1
148,2,166500,15000.0,657,1,3,1
149,2,436500,5760.0,538,6,0,1
150,2,286500,0.0,508,2,3,1
151,2,266500,3120.0,827,3,0,1
152,2,256500,3360.0,899,2,0,1
153,2,766500,0.0,678,1,3,1
154,2,356500,10800.0,551,3,3,1
155,2,266500,6780.0,584,1,0,1
156,2,206500,0.0,537,3,3,1
157,2,166500,5820.0,770,3,0,1
158,2,216500,5160.0,541,2,0,1
159,2,726500,10080.0,846,3,0,1
160,2,416500,4980.0,614,0,3,1
161,2,236500,6060.0,541,2,0,1
162,2,216500,9360.0,806,3,0,1
163,2,406500,4620.0,893,1,0,1
164,2,406500,6360.0,742,1,3,1
165,2,326500,4200.0,876,3,0,1
166,2,316500,0.0,830,2,0,1
167,2,346500,9300.0,661,4,0,1
168,2,276500,6780.0,535,4,3,1
169,2,276500,12600.0,737,0,3,1
170,2,486500,9420.0,755,2,0,1
171,2,286500,6480.0,713,0,3,1
172,2,256500,2220.0,639,4,2,1
173,2,206500,2700.0,805,1,0,1
174,2,286500,4080.0,507,2,0,1
175,2,406500,8460.0,707,6,3,1
176,2,496500,6000.0,760,0,3,1
177,2,436500,5640.0,678,2,0,1
178,2,456500,9480.0,770,3,0,1
179,2,416500,7800.0,526,2,3,1
180,2,166500,5700.0,534,2,2,1
181,2,276500,2520.0,603,2,1,1
182,2,326500,3480.0,642,4,0,1
183,2,176500,2760.0,547,4,0,1
184,2,146500,3660.0,859,2,0,1
185,2,496500,6060.0,879,1,3,1
186,2,156500,3060.0,630,3,0,1
187,2,156500,1800.0,829,3,0,1
188,2,446500,5880.0,603,3,0,1
189,2,846500,30120.0,871,0,0,1
190,2,346500,6960.0,692,4,3,1
191,2,226500,0.0,676,3,0,1
192,2,516500,7200.0,549,1,0,1
193,2,446500,9420.0,633,1,0,1
194,2,166500,2820.0,555,3,0,1
195,2,376500,4020.0,797,0,0,1
196,2,456500,5340.0,772,1,0,1
197,2,726500,9720.0,581,2,3,1
198,2,716500,11280.0,677,6,0,1
199,2,186500,6660.0,850,4,0,1
200,2,1036500,16140.0,670,6,3,1
201,2,206500,8700.0,832,1,0,1
202,2,206500,33540.0,889,3,0,1
203,2,606500,10740.0,651,1,0,1
204,2,156500,3180.0,887,4,3,1
205,2,246500,2580.0,774,5,0,1
206,2,206500,4080.0,513,3,0,1
207,2,176500,2520.0,519,4,0,1
208,2,276500,6840.0,647,1,0,1
209,2,336500,7380.0,789,6,0,1
210,2,386500,6480.0,554,1,3,1
211,2,256500,5220.0,812,2,3,1
212,2,66500,1860.0,827,2,2,1
213,2,706500,7800.0,643,1,2,1
214,2,156500,720.0,821,3,0,1
215,2,356500,4920.0,577,1,3,1
216,2,576500,5160.0,542,4,0,1
217,2,156500,2760.0,742,0,0,1
218,2,576500,7560.0,753,0,0,1
219,2,96500,4860.0,597,3,0,1
220,2,96500,3000.0,606,2,3,1
221,2,686500,9420.0,762,2,3,1
222,2,536500,15600.0,517,1,3,1
223,2,116500,2820.0,509,4,0,1
224,2,316500,0.0,796,0,0,1
225,2,136500,2160.0,553,2,0,1
226,2,266500,5820.0,595,3,0,1
227,2,496500,4740.0,581,3,0,1
228,2,606500,11820.0,710,3,0,1
229,2,626500,12000.0,667,3,0,1
230,2,696500,6900.0,851,3,0,1
231,2,116500,1860.0,734,1,3,1
232,2,786500,7140.0,758,4,2,1
233,2,506500,6780.0,656,2,3,1
234,2,156500,6780.0,815,3,0,1
235,2,396500,5520.0,503,0,3,1
236,2,216500,14400.0,868,3,0,1
237,2,206500,3360.0,810,2,3,1
238,2,476500,5460.0,653,3,0,1
239,2,556500,9720.0,893,1,0,1
240,2,186500,6600.0,879,2,0,1
241,2,476500,6900.0,854,3,1,1
242,2,476500,5820.0,858,3,2,1
243,2,266500,4260.0,846,0,0,1
244,2,306500,6600.0,618,0,3,1
245,2,236500,5460.0,819,3,0,1
246,2,456500,5640.0,876,1,3,1
247,2,916500,16980.0,618,1,0,1
248,2,186500,3840.0,648,2,0,1
249,2,506500,0.0,844,0,3,1
250,2,246500,0.0,598,0,0,1
251,2,466500,5040.0,766,0,3,1
252,2,136500,5640.0,880,4,0,1
253,2,576500,12000.0,584,1,0,1
254,2,256500,4920.0,513,2,0,1
255,2,226500,7920.0,650,2,0,1
256,2,536500,7260.0,778,1,2,1
257,2,596500,10740.0,556,3,3,1
258,2,146500,4440.0,639,1,0,1
259,2,406500,0.0,725,1,3,1
260,2,176500,0.0,530,1,3,1
261,2,726500,0.0,557,0,0,1
262,2,526500,7620.0,574,1,0,1
263,2,126500,5580.0,666,3,0,1
264,2,206500,9180.0,807,0,0,1
265,2,396500,12060.0,725,2,0,1
266,2,726500,6300.0,556,6,0,1
267,2,126500,2280.0,555,3,0,1
268,2,256500,7500.0,662,1,0,1
269,2,266500,5880.0,552,2,3,1
270,2,486500,10200.0,755,1,3,1
271,2,206500,35340.0,581,4,0,1
272,2,476500,0.0,663,1,0,1
273,2,116500,2760.0,689,4,3,1
274,2,486500,10500.0,886,2,0,1
275,2,176500,5160.0,675,3,0,1
276,2,306500,2580.0,896,6,2,1
277,2,176500,5460.0,826,6,0,1
278,2,176500,4680.0,766,2,3,1
279,2,486500,4560.0,676,0,0,1
280,2,456500,0.0,561,0,0,1
281,2,196500,2520.0,619,1,0,1
282,2,156500,3300.0,613,3,0,1
283,2,506500,9060.0,536,4,0,1
284,2,216500,3540.0,637,3,2,1
285,2,106500,4020.0,615,2,0,1
286,2,386500,6600.0,697,0,3,1
287,2,306500,5040.0,857,1,3,1
288,2,316500,8760.0,554,3,0,1
289,2,126500,5280.0,608,0,0,1
290,2,186500,3720.0,674,3,0,1
291,2,306500,0.0,580,2,0,1
292,2,56500,3180.0,514,0,3,1
293,2,386500,4680.0,803,6,3,1
294,2,206500,3180.0,672,2,0,1
295,2,266500,2220.0,637,2,0,1
296,2,206500,3900.0,592,2,2,1
297,2,446500,10260.0,585,4,0,1
298,2,326500,6300.0,643,3,0,1
299,2,556500,8040.0,608,1,3,1
300,2,346500,12300.0,746,2,3,1
301,2,376500,4140.0,549,4,2,1
302,2,316500,0.0,673,3,0,1
303,2,236500,19680.0,652,3,0,1
304,2,316500,4320.0,775,0,0,1
305,2,306500,5760.0,871,1,3,1
306,2,286500,7560.0,508,4,2,1
307,2,256500,0.0,765,0,0,1
308,2,116500,4500.0,819,1,2,1
309,2,296500,5400.0,576,6,0,1
310,2,146500,2460.0,637,5,3,1
311,2,466500,9540.0,753,3,0,1
312,2,236500,3060.0,823,4,2,1
313,2,846500,13560.0,854,2,0,1
314,2,156500,3300.0,661,0,0,1
315,2,76500,1980.0,694,4,0,1
